                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 2.8187,                 2.2768,                 2.9565,                0.01743,                0.24138,                0.02473,                0.01112,                 3.9719,                 2.7803,                 3.3091,              0.0011684,              0.0011684,              0.0011684
                     86,                 2.7542,                 2.3287,                  2.973,                0.03175,                 0.2069,                0.03686,                0.01715,                 4.0989,                 3.5771,                 4.1119,              0.0011585,              0.0011585,              0.0011585
                     87,                 3.0099,                 2.2775,                 3.0462,                0.03175,                 0.2069,                0.03686,                0.01715,                 4.0989,                 3.5771,                 4.1119,              0.0011486,              0.0011486,              0.0011486
                     88,                 2.8414,                 2.3816,                 2.9615,                0.01167,                0.24138,                0.01139,                0.00388,                   4.19,                 3.6058,                 4.1472,              0.0011387,              0.0011387,              0.0011387
                     89,                 2.8108,                 2.4947,                 2.9951,                0.01167,                0.24138,                0.01139,                0.00388,                   4.19,                 3.6058,                 4.1472,              0.0011288,              0.0011288,              0.0011288
                     90,                  2.856,                 2.2723,                 3.0265,                0.01097,                 0.2069,                0.00927,                0.00181,                   4.35,                 3.6503,                 4.2327,              0.0011189,              0.0011189,              0.0011189
                     91,                 3.0567,                 2.3366,                 3.1014,                0.01097,                 0.2069,                0.00927,                0.00181,                   4.35,                 3.6503,                 4.2327,               0.001109,               0.001109,               0.001109
                     92,                 3.0644,                 2.3379,                 3.0705,                0.01524,                0.06897,                0.01004,                0.00197,                  4.231,                 3.5003,                 4.1355,              0.0010991,              0.0010991,              0.0010991
                     93,                 2.7235,                 2.3184,                 2.9644,                0.01524,                0.06897,                0.01004,                0.00197,                  4.231,                 3.5003,                 4.1355,              0.0010892,              0.0010892,              0.0010892
                     94,                  2.716,                 2.3453,                 2.9468,                0.01729,                0.06897,                0.04269,                0.00557,                 4.1085,                 3.3953,                 3.8485,              0.0010793,              0.0010793,              0.0010793
                     95,                 2.9426,                 2.2687,                 3.1156,                0.01729,                0.06897,                0.04269,                0.00557,                 4.1085,                 3.3953,                 3.8485,              0.0010694,              0.0010694,              0.0010694
                     96,                 3.0539,                 2.2383,                 3.1226,                  0.015,                0.31034,                0.01195,                0.00252,                 2.7706,                 3.0063,                 3.2189,              0.0010595,              0.0010595,              0.0010595
                     97,                 2.7644,                 2.4166,                 3.0077,                  0.015,                0.31034,                0.01195,                0.00252,                 2.7706,                 3.0063,                 3.2189,              0.0010496,              0.0010496,              0.0010496
                     98,                 2.8894,                 2.1882,                 3.0095,                0.01667,                0.34483,                0.01404,                 0.0036,                  3.037,                 2.9848,                 3.1277,              0.0010397,              0.0010397,              0.0010397
                     99,                   2.88,                 2.2659,                 3.0631,                0.01667,                0.34483,                0.01404,                 0.0036,                  3.037,                 2.9848,                 3.1277,              0.0010298,              0.0010298,              0.0010298
                    100,                 2.8538,                 2.2337,                 3.0478,                0.00833,                0.17241,                0.00531,                0.00153,                 3.3086,                 3.3467,                 3.5215,              0.0010199,              0.0010199,              0.0010199
                    101,                 2.9318,                 2.2765,                 3.0658,                0.00833,                0.17241,                0.00531,                0.00153,                 3.3086,                 3.3467,                 3.5215,                0.00101,                0.00101,                0.00101
                    102,                 2.8474,                 2.4132,                 3.0149,                0.01833,                0.37931,                0.01749,                0.00332,                 2.9589,                 3.2274,                 3.0536,              0.0010001,              0.0010001,              0.0010001
                    103,                 2.8677,                 2.2496,                  2.956,                0.01833,                0.37931,                0.01749,                0.00332,                 2.9589,                 3.2274,                 3.0536,              0.0009902,              0.0009902,              0.0009902
                    104,                 2.8735,                 2.3247,                 3.0326,                0.01926,                0.27586,                0.01905,                0.00414,                 2.8941,                 3.3734,                 3.0014,              0.0009803,              0.0009803,              0.0009803
                    105,                 2.8764,                 2.2988,                 2.9492,                0.01926,                0.27586,                0.01905,                0.00414,                 2.8941,                 3.3734,                 3.0014,              0.0009704,              0.0009704,              0.0009704
                    106,                 2.7843,                 2.3275,                 2.9274,                0.02821,                0.37931,                0.03245,                 0.0067,                 2.8631,                 3.3117,                   2.98,              0.0009605,              0.0009605,              0.0009605
                    107,                 2.7753,                  2.162,                   2.94,                0.02821,                0.37931,                0.03245,                 0.0067,                 2.8631,                 3.3117,                   2.98,              0.0009506,              0.0009506,              0.0009506
                    108,                 2.7409,                 2.2875,                  2.944,                0.01838,                0.27586,                0.01882,                0.00493,                 2.9062,                 3.3011,                 3.0088,              0.0009407,              0.0009407,              0.0009407
                    109,                  2.847,                 2.2135,                 2.9745,                0.01838,                0.27586,                0.01882,                0.00493,                 2.9062,                 3.3011,                 3.0088,              0.0009308,              0.0009308,              0.0009308
                    110,                 2.7705,                 2.2626,                 2.9368,                0.01128,                0.10345,                0.00954,                0.00223,                 3.8766,                 3.5866,                 3.7271,              0.0009209,              0.0009209,              0.0009209
                    111,                 2.8734,                 2.2891,                 2.9851,                0.01128,                0.10345,                0.00954,                0.00223,                 3.8766,                 3.5866,                 3.7271,               0.000911,               0.000911,               0.000911
                    112,                 2.8344,                 2.2762,                 2.9403,                0.00749,                0.06897,                 0.0067,                0.00169,                 4.3362,                 3.6726,                 4.0833,              0.0009011,              0.0009011,              0.0009011
                    113,                 2.9236,                 2.1399,                 3.0337,                0.00749,                0.06897,                 0.0067,                0.00169,                 4.3362,                 3.6726,                 4.0833,              0.0008912,              0.0008912,              0.0008912
                    114,                  2.612,                 2.3434,                 2.8783,                0.00832,                0.06897,                0.00792,                0.00244,                 4.0593,                 3.5206,                 3.8479,              0.0008813,              0.0008813,              0.0008813
                    115,                 2.7006,                 2.2223,                 2.8923,                0.00832,                0.06897,                0.00792,                0.00244,                 4.0593,                 3.5206,                 3.8479,              0.0008714,              0.0008714,              0.0008714
                    116,                 2.7298,                 2.3282,                 2.9451,                0.01764,                0.13793,                0.01275,                0.00367,                 3.4104,                  3.196,                  3.439,              0.0008615,              0.0008615,              0.0008615
                    117,                 2.6802,                 2.1258,                 2.8873,                0.01764,                0.13793,                0.01275,                0.00367,                 3.4104,                  3.196,                  3.439,              0.0008516,              0.0008516,              0.0008516
                    118,                 2.6887,                 2.3313,                 2.9267,                0.01827,                0.34483,                0.02476,                0.00631,                 2.8534,                  3.017,                  2.998,              0.0008417,              0.0008417,              0.0008417
                    119,                 2.7119,                 2.2498,                 2.9687,                0.01827,                0.34483,                0.02476,                0.00631,                 2.8534,                  3.017,                  2.998,              0.0008318,              0.0008318,              0.0008318
                    120,                 2.7964,                 2.1476,                    2.9,                0.02164,                0.31034,                0.03087,                0.00726,                 2.8128,                 3.0927,                 2.9662,              0.0008219,              0.0008219,              0.0008219
                    121,                 2.8398,                 2.1887,                 2.9541,                0.02164,                0.31034,                0.03087,                0.00726,                 2.8128,                 3.0927,                 2.9662,               0.000812,               0.000812,               0.000812
                    122,                 2.6939,                 2.2906,                  2.943,                0.02254,                0.31034,                0.02794,                0.00659,                 2.7874,                 3.0178,                  2.975,              0.0008021,              0.0008021,              0.0008021
                    123,                 2.7503,                 2.3514,                 2.9203,                0.02254,                0.31034,                0.02794,                0.00659,                 2.7874,                 3.0178,                  2.975,              0.0007922,              0.0007922,              0.0007922
                    124,                 2.7191,                  2.202,                 2.9056,                0.01493,                0.24138,                0.01588,                0.00487,                 2.8447,                 2.9554,                 3.0937,              0.0007823,              0.0007823,              0.0007823
                    125,                 2.5963,                 2.2311,                 2.8512,                0.01493,                0.24138,                0.01588,                0.00487,                 2.8447,                 2.9554,                 3.0937,              0.0007724,              0.0007724,              0.0007724
                    126,                 2.6533,                 2.1898,                 2.9073,                0.00833,                0.17241,                0.00949,                0.00318,                 3.7488,                 3.5005,                 3.8969,              0.0007625,              0.0007625,              0.0007625
                    127,                 2.6502,                 2.2843,                 2.9489,                0.00833,                0.17241,                0.00949,                0.00318,                 3.7488,                 3.5005,                 3.8969,              0.0007526,              0.0007526,              0.0007526
                    128,                  2.669,                 2.2731,                 2.9061,                0.00414,                0.06897,                0.00262,                0.00052,                 4.8925,                 4.4474,                 4.9758,              0.0007427,              0.0007427,              0.0007427
                    129,                 2.8704,                  2.175,                 2.9125,                0.00414,                0.06897,                0.00262,                0.00052,                 4.8925,                 4.4474,                 4.9758,              0.0007328,              0.0007328,              0.0007328
                    130,                 2.8794,                 2.2133,                  2.929,                0.00488,                0.06897,                0.00278,                0.00041,                  5.003,                 4.6354,                  5.176,              0.0007229,              0.0007229,              0.0007229
                    131,                 2.6199,                 2.1732,                 2.8795,                0.00488,                0.06897,                0.00278,                0.00041,                  5.003,                 4.6354,                  5.176,               0.000713,               0.000713,               0.000713
                    132,                 2.6265,                 2.2087,                  2.852,                0.00833,                0.17241,                0.00609,                 0.0017,                 4.3171,                 3.8963,                   4.18,              0.0007031,              0.0007031,              0.0007031
                    133,                 2.7891,                  2.596,                 2.9237,                0.00833,                0.17241,                0.00609,                 0.0017,                 4.3171,                 3.8963,                   4.18,              0.0006932,              0.0006932,              0.0006932
                    134,                  2.743,                 2.1704,                 2.8926,                0.01358,                 0.2069,                0.01663,                0.00821,                 2.8757,                 3.1819,                 3.4026,              0.0006833,              0.0006833,              0.0006833
                    135,                  2.683,                  2.172,                 2.8664,                0.01358,                 0.2069,                0.01663,                0.00821,                 2.8757,                 3.1819,                 3.4026,              0.0006734,              0.0006734,              0.0006734
                    136,                 2.7736,                 2.1721,                  2.891,                0.03699,                0.41379,                0.04964,                0.01412,                 2.6618,                 2.7672,                 2.8207,              0.0006635,              0.0006635,              0.0006635
                    137,                 2.7206,                 2.1474,                 2.8256,                0.03699,                0.41379,                0.04964,                0.01412,                 2.6618,                 2.7672,                 2.8207,              0.0006536,              0.0006536,              0.0006536
                    138,                 2.7603,                 2.1549,                 2.8413,                0.03954,                0.44828,                 0.0508,                0.01477,                 2.6289,                 2.8185,                 2.7955,              0.0006437,              0.0006437,              0.0006437
                    139,                 2.6901,                 2.1586,                 2.8562,                0.03954,                0.44828,                 0.0508,                0.01477,                 2.6289,                 2.8185,                 2.7955,              0.0006338,              0.0006338,              0.0006338
                    140,                 2.4866,                 2.1511,                 2.7627,                0.05105,                0.48276,                0.05482,                0.01377,                 2.6148,                 2.8538,                 2.8139,              0.0006239,              0.0006239,              0.0006239
                    141,                 2.6056,                 2.1474,                  2.771,                0.05105,                0.48276,                0.05482,                0.01377,                 2.6148,                 2.8538,                 2.8139,               0.000614,               0.000614,               0.000614
                    142,                  2.798,                 2.1783,                 2.8922,                 0.0447,                0.55172,                0.05727,                0.01348,                   2.62,                 2.8784,                 2.8176,              0.0006041,              0.0006041,              0.0006041
                    143,                 2.5542,                 2.1448,                 2.8139,                 0.0447,                0.55172,                0.05727,                0.01348,                   2.62,                 2.8784,                 2.8176,              0.0005942,              0.0005942,              0.0005942
                    144,                 2.6017,                 2.1749,                 2.8266,                0.05212,                0.55172,                0.06658,                0.01553,                 2.6155,                 2.8037,                 2.8488,              0.0005843,              0.0005843,              0.0005843
                    145,                 2.6237,                  2.239,                 2.8657,                0.05212,                0.55172,                0.06658,                0.01553,                 2.6155,                 2.8037,                 2.8488,              0.0005744,              0.0005744,              0.0005744
                    146,                 2.6688,                 2.1695,                 2.8558,                0.05508,                0.65517,                0.06705,                0.01527,                 2.6033,                 2.8497,                 2.8466,              0.0005645,              0.0005645,              0.0005645
